cell_type,contrast,symbol,logFC,t,P.Value,adj.P.Val
dc_monocytic_gmp,EZH2 vs rest,ELANE,0.196,5.41,8.61e-8,2.48e-5
dc_monocytic_gmp,EZH2 vs rest,SUPT3H,-0.267,-4.39,1.32e-5,0.0019
dc_monocytic_gmp,EZH2 vs rest,LUZP1,-0.145,-4.04,6.01e-5,0.0049
dc_monocytic_gmp,EZH2 vs rest,CD74,0.0926,4.01,6.8e-5,0.0049
dc_monocytic_gmp,EZH2 vs rest,RUNX1,-0.0691,-3.9,1.05e-4,0.00602
dc_monocytic_gmp,EZH2 vs rest,DTL,-0.0677,-3.8,1.55e-4,0.0074400000000000004
dc_monocytic_gmp,EZH2 vs rest,WDFY2,0.24,3.67,2.61e-4,0.00945
dc_monocytic_gmp,EZH2 vs rest,DPYD,0.349,3.67,2.62e-4,0.00945
dc_monocytic_gmp,EZH2 vs rest,ELMO1,-0.0235,-3.6,3.35e-4,0.0107
dc_monocytic_gmp,EZH2 vs rest,SCFD1,0.0672,3.46,5.78e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,TRPS1,0.0386,3.44,6.13e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,SELL,0.44,3.44,6.22e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,SYK,0.173,3.31,9.8e-4,0.0208
dc_monocytic_gmp,EZH2 vs rest,UBE2E1,-0.085,-3.3,0.00101,0.0208
dc_monocytic_gmp,EZH2 vs rest,TSC22D3,0.0604,3.28,0.0011,0.0211
dc_monocytic_gmp,EZH2 vs rest,AIF1,0.195,3.24,0.00126,0.0227
dc_monocytic_gmp,EZH2 vs rest,CUX1,-0.037,-3.22,0.00135,0.0229
dc_monocytic_gmp,EZH2 vs rest,PHACTR2,0.346,3.13,0.00182,0.0291
dc_monocytic_gmp,EZH2 vs rest,AOAH,0.208,3.1,0.00202,0.0301
dc_monocytic_gmp,EZH2 vs rest,CD44,0.116,3.09,0.00209,0.0301
dc_monocytic_gmp,EZH2 vs rest,ZBTB20,-0.154,-3.07,0.0022,0.0302
dc_monocytic_gmp,EZH2 vs rest,CELF2,-0.026,-3.03,0.0025,0.0328
dc_monocytic_gmp,EZH2 vs rest,ATAD2,0.0134,2.99,0.00285,0.0357
dc_monocytic_gmp,EZH2 vs rest,PELI2,0.179,2.95,0.00329,0.0395
dc_monocytic_gmp,EZH2 vs rest,ARL6IP1,0.0707,2.92,0.0036,0.0406
dc_monocytic_gmp,EZH2 vs rest,SRSF11,0.112,2.89,0.00397,0.0406
dc_monocytic_gmp,EZH2 vs rest,TXNIP,0.281,2.89,0.00398,0.0406
dc_monocytic_gmp,EZH2 vs rest,SLC25A6,0.0459,2.89,0.00399,0.0406
dc_monocytic_gmp,EZH2 vs rest,ANKRD44,0.0487,2.88,0.0041,0.0406
dc_monocytic_gmp,EZH2 vs rest,BCR,-0.0478,-2.86,0.00437,0.0406
dc_monocytic_gmp,EZH2 vs rest,HNRNPR,0.145,2.86,0.00437,0.0406
dc_monocytic_gmp,EZH2 vs rest,STK3,0.398,2.81,0.00507,0.0456
dc_monocytic_gmp,EZH2 vs rest,PNISR,-0.0168,-2.79,0.00541,0.0462
dc_monocytic_gmp,EZH2 vs rest,RPS10,-0.0285,-2.79,0.00545,0.0462
dc_monocytic_gmp,EZH2 vs rest,SRSF5,0.12,2.77,0.00577,0.0462
dc_monocytic_gmp,EZH2 vs rest,GABARAP,-0.00473,-2.76,0.00589,0.0462
dc_monocytic_gmp,EZH2 vs rest,ARHGDIB,-0.00263,-2.76,0.00593,0.0462
