sub_group,cell_type,median,lower_ci,upper_ci,groups
-7,dc_monocytic_gmp,0.2930936750409825,0.2739334370922052,0.31345056568881047,drop_last
-7,early_lymphoid_bcell,0.19376321494109355,0.18708820975819757,0.19991843276495774,drop_last
-7,hspc,0.13846911389377242,0.12467028379366407,0.1515717674590093,drop_last
-7,megakaryocytic_erythroid,0.26015001974708757,0.2414195634676255,0.2757455855441759,drop_last
-7,t_nk,0.11463059087699809,0.10560050881482719,0.12640997759161335,drop_last
Complex,dc_monocytic_gmp,0.3668714837967999,0.2905835637927361,0.41956115495268087,drop_last
Complex,early_lymphoid_bcell,0.15621688513119883,0.135896417445241,0.1710195559924746,drop_last
Complex,hspc,0.22283141781623395,0.16101596958217546,0.289101423420175,drop_last
Complex,megakaryocytic_erythroid,0.15776926511585077,0.11645504810172852,0.22379483653170437,drop_last
Complex,t_nk,0.0974697242168901,0.0611509784631149,0.15174068205128205,drop_last
EZH2,dc_monocytic_gmp,0.22336019625897158,0.17200398357441293,0.29150907344573695,drop_last
EZH2,early_lymphoid_bcell,0.16846112921052242,0.1282966266115843,0.18730265083264896,drop_last
EZH2,hspc,0.17922927223785706,0.10272537936000131,0.2634858428711288,drop_last
EZH2,megakaryocytic_erythroid,0.2915296919232115,0.19197839684710655,0.3772444669386942,drop_last
EZH2,t_nk,0.13629750308991936,0.07477550235062055,0.20661339092246864,drop_last
MDS-IB1,dc_monocytic_gmp,0.3492421013801839,0.3197717878421391,0.37707948113733375,drop_last
MDS-IB1,early_lymphoid_bcell,0.1370753311912694,0.11782343575786268,0.1578205371998001,drop_last
MDS-IB1,hspc,0.28938492834664653,0.24517138609988354,0.32747215796459994,drop_last
MDS-IB1,megakaryocytic_erythroid,0.13638313001968055,0.09455560482377379,0.18193111144358126,drop_last
MDS-IB1,t_nk,0.0845738106941295,0.06034638898897399,0.11341969037849581,drop_last
MDS-IB2,dc_monocytic_gmp,0.2765712075126944,0.25865564873672536,0.29591765784447716,drop_last
MDS-IB2,early_lymphoid_bcell,0.18633936450006727,0.1802321333797331,0.19333128847936337,drop_last
MDS-IB2,hspc,0.11839112968485416,0.1086089826120258,0.12963914559511483,drop_last
MDS-IB2,megakaryocytic_erythroid,0.22635808662039228,0.21073822273192394,0.24462269630599615,drop_last
MDS-IB2,t_nk,0.1916701095632229,0.17537578700727263,0.21086798146452163,drop_last
MDS-LB,dc_monocytic_gmp,0.29860576929215055,0.28002141215741005,0.311654018021415,drop_last
MDS-LB,early_lymphoid_bcell,0.20168631251369884,0.19603624515543744,0.20986943955309206,drop_last
MDS-LB,hspc,0.10329939556512731,0.09401854207385119,0.11349920572069677,drop_last
MDS-LB,megakaryocytic_erythroid,0.28349283617644766,0.26712710688301033,0.30026711803064904,drop_last
MDS-LB,t_nk,0.1142112171000868,0.10675522050710515,0.12197860476774093,drop_last
SF3B1-IB,dc_monocytic_gmp,0.1987494114095772,0.17666230992676785,0.22239828599520917,drop_last
SF3B1-IB,early_lymphoid_bcell,0.19717366799141986,0.1883950220882461,0.20643893952095838,drop_last
SF3B1-IB,hspc,0.2046902601675858,0.17597816016995566,0.2268859852940927,drop_last
SF3B1-IB,megakaryocytic_erythroid,0.2397035632931694,0.20564513809302062,0.2702948012026718,drop_last
SF3B1-IB,t_nk,0.16101291700061046,0.14505246589759935,0.18371047117251407,drop_last
STAG2,dc_monocytic_gmp,0.32552516750788196,0.3004487853105079,0.3478979224585417,drop_last
STAG2,early_lymphoid_bcell,0.19793110823994658,0.18698473610568989,0.21198622882434187,drop_last
STAG2,hspc,0.14446074181452573,0.11728827881879927,0.17538390435655987,drop_last
STAG2,megakaryocytic_erythroid,0.21146068444692387,0.17383395161527715,0.24906229635195498,drop_last
STAG2,t_nk,0.11867142903233335,0.10412174458355951,0.13641840762654944,drop_last
TET2-bi,dc_monocytic_gmp,0.3290555458748286,0.28629175328384243,0.37411707671671457,drop_last
TET2-bi,early_lymphoid_bcell,0.1596737284456094,0.14261766904937767,0.17642672800734954,drop_last
TET2-bi,hspc,0.22252147791107826,0.18536142147505713,0.2580157294772998,drop_last
TET2-bi,megakaryocytic_erythroid,0.16431899637906944,0.13427917989796678,0.20222473419684556,drop_last
TET2-bi,t_nk,0.12196950393558409,0.10422902213603742,0.15241125881853662,drop_last
del5q-IB,dc_monocytic_gmp,0.42872072572267217,0.41063808413474245,0.4432683639189332,drop_last
del5q-IB,early_lymphoid_bcell,0.16491091970269767,0.15188348089617645,0.1749137220031267,drop_last
del5q-IB,hspc,0.15906297021659596,0.13742952014795193,0.18357734328371775,drop_last
del5q-IB,megakaryocytic_erythroid,0.1475058017379725,0.13365759486886314,0.16483633197548989,drop_last
del5q-IB,t_nk,0.0999712471609786,0.08741190314497707,0.10975901122376636,drop_last
